iter	Passed	Remaining
1468	19339	46486
1469	19350	46467
1470	19363	46454
1471	19376	46439
1472	19384	46414
1473	19395	46397
1474	19407	46381
1475	19417	46359
1476	19428	46342
1477	19438	46321
1478	19449	46302
1479	19458	46280
1480	19476	46277
1481	19486	46256
1482	19499	46243
1483	19511	46228
1484	19522	46210
1485	19534	46194
1486	19550	46186
1487	19563	46174
1488	19578	46165
1489	19592	46153
1490	19604	46138
1491	19618	46127
1492	19635	46123
1493	19646	46105
1494	19660	46093
1495	19671	46076
1496	19686	46065
1497	19700	46054
1498	19711	46037
1499	19717	46006
1500	19727	45985
1501	19743	45980
1502	19752	45958
1503	19766	45945
1504	19771	45914
1505	19787	45907
1506	19802	45900
1507	19816	45887
1508	19825	45864
1509	19832	45839
1510	19843	45819
1511	19856	45806
1512	19871	45797
1513	19890	45797
1514	19901	45779
1515	19916	45771
1516	19928	45755
1517	19937	45732
1518	19951	45721
1519	19958	45695
1520	19968	45674
1521	19979	45657
1522	19990	45637
1523	20004	45626
1524	20016	45611
1525	20030	45600
1526	20041	45583
1527	20052	45565
1528	20064	45548
1529	20072	45523
1530	20081	45501
1531	20093	45485
1532	20104	45467
1533	20114	45447
1534	20125	45429
1535	20138	45415
1536	20147	45393
1537	20157	45374
1538	20169	45357
1539	20184	45350
1540	20196	45334
1541	20209	45319
1542	20214	45289
1543	20226	45274
1544	20236	45253
1545	20244	45228
1546	20253	45207
1547	20264	45188
1548	20278	45179
1549	20291	45165
1550	20305	45154
1551	20322	45149
1552	20333	45132
1553	20347	45121
1554	20355	45095
1555	20363	45071
1556	20376	45058
1557	20390	45048
1558	20402	45031
1559	20415	45018
1560	20429	45008
1561	20439	44987
1562	20451	44971
1563	20462	44953
1564	20476	44943
1565	20483	44917
1566	20495	44901
1567	20502	44876
1568	20514	44860
1569	20528	44849
1570	20540	44833
1571	20553	44819
1572	20566	44806
1573	20576	44786
1574	20588	44770
1575	20600	44756
1576	20610	44737
1577	20622	44721
1578	20638	44714
1579	20651	44702
1580	20659	44677
1581	20672	44664
1582	20686	44652
1583	20696	44633
1584	20708	44617
1585	20720	44601
1586	20734	44591
1587	20745	44574
1588	20754	44552
1589	20767	44538
1590	20778	44521
1591	20792	44510
1592	20799	44485
1593	20815	44477
1594	20824	44457
1595	20834	44436
1596	20846	44420
1597	20857	44404
1598	20872	44395
1599	20884	44378
1600	20894	44359
1601	20899	44329
1602	20910	44311
1603	20917	44287
1604	20929	44270
1605	20938	44250
1606	20952	44239
1607	20964	44223
1608	20974	44203
1609	20982	44181
1610	20992	44161
1611	21003	44144
1612	21009	44116
1613	21017	44091
1614	21028	44074
1615	21038	44054
1616	21049	44038
1617	21064	44028
1618	21076	44013
1619	21092	44007
1620	21104	43992
1621	21114	43973
1622	21124	43953
1623	21135	43937
1624	21150	43927
1625	21162	43912
1626	21176	43901
1627	21187	43884
1628	21197	43865
1629	21206	43844
1630	21219	43830
1631	21226	43805
1632	21235	43784
1633	21248	43771
1634	21259	43754
1635	21275	43747
1636	21288	43734
1637	21303	43725
1638	21316	43712
1639	21324	43689
1640	21336	43673
1641	21352	43667
1642	21360	43643
1643	21375	43634
1644	21387	43619
1645	21398	43603
1646	21406	43580
1647	21420	43569
1648	21425	43540
1649	21435	43521
1650	21447	43504
1651	21458	43488
1652	21477	43488
1653	21487	43469
1654	21501	43458
1655	21514	43444
1656	21523	43424
1657	21542	43422
1658	21552	43403
1659	21561	43382
1660	21576	43373
1661	21585	43353
1662	21601	43346
1663	21621	43347
1664	21628	43321
1665	21637	43301
