iter	MAE
1163	9137.770907
1164	9136.048218
1165	9131.752349
1166	9125.818929
1167	9120.504254
1168	9113.950057
1169	9109.583907
1170	9104.920804
1171	9100.563579
1172	9099.204602
1173	9094.993184
1174	9089.65403
1175	9084.353296
1176	9078.325221
1177	9073.20099
1178	9070.549006
1179	9067.280551
1180	9063.520715
1181	9061.812764
1182	9057.99395
1183	9053.566848
1184	9048.019286
1185	9045.196571
1186	9038.37633
1187	9034.835237
1188	9030.03532
1189	9028.327487
1190	9022.420442
1191	9019.925181
1192	9013.156283
1193	9010.334969
1194	9006.252993
1195	9000.594504
1196	8994.795899
1197	8992.539668
1198	8987.393959
1199	8983.885341
1200	8978.534524
1201	8975.075182
1202	8969.468308
1203	8967.05688
1204	8965.546183
1205	8959.431271
1206	8957.768243
1207	8955.184684
1208	8949.082024
1209	8943.939574
1210	8940.994223
1211	8936.931048
1212	8931.808911
1213	8930.653776
1214	8929.290176
1215	8923.172154
1216	8919.67729
1217	8917.062957
1218	8913.037111
1219	8910.247066
1220	8908.968384
1221	8906.356028
1222	8901.986742
1223	8898.215574
1224	8893.833689
1225	8889.945094
1226	8886.341595
1227	8882.522789
1228	8879.890368
1229	8876.941414
1230	8870.3634
1231	8869.107191
1232	8866.896103
1233	8863.241594
1234	8858.825607
1235	8856.933108
1236	8852.852824
1237	8849.026947
1238	8846.304651
1239	8840.584424
1240	8837.39341
1241	8833.921467
1242	8830.412644
1243	8826.852696
1244	8821.975464
1245	8820.90269
1246	8819.214381
1247	8811.707671
1248	8806.285303
1249	8802.305471
1250	8799.970824
1251	8795.798314
1252	8793.739955
1253	8792.70161
1254	8790.138224
1255	8789.174355
1256	8784.573348
1257	8780.987905
1258	8775.166348
1259	8772.518566
1260	8769.108831
1261	8765.784239
1262	8760.199545
1263	8758.127817
1264	8755.613299
1265	8749.952984
1266	8748.61772
1267	8744.989048
1268	8742.754065
1269	8737.576758
1270	8732.081353
1271	8727.159089
1272	8725.108849
1273	8722.259926
1274	8720.704424
1275	8717.825685
1276	8713.894683
1277	8708.87292
1278	8704.658266
1279	8699.908238
1280	8696.29345
1281	8693.163806
1282	8690.767566
1283	8686.476192
1284	8683.673011
1285	8679.788183
1286	8674.619927
1287	8671.511535
1288	8669.408828
1289	8667.079815
1290	8663.913768
1291	8662.097991
1292	8658.728188
1293	8656.681729
1294	8652.421205
1295	8648.272742
1296	8643.819948
1297	8642.021571
1298	8636.423976
1299	8633.563515
1300	8628.3355
1301	8625.761867
1302	8623.192436
1303	8619.799723
1304	8616.280678
1305	8614.868605
1306	8610.721562
1307	8607.269417
1308	8604.089488
1309	8599.595541
1310	8595.292255
1311	8592.800046
1312	8588.932965
1313	8585.586652
1314	8583.274595
1315	8580.377225
1316	8575.989088
1317	8572.56322
1318	8568.162668
1319	8564.515329
1320	8562.828004
1321	8558.581447
1322	8556.93698
1323	8554.725832
1324	8549.770525
1325	8547.887728
1326	8543.139086
1327	8541.0681
1328	8538.550577
1329	8533.820937
1330	8532.18297
1331	8531.155446
1332	8528.109283
1333	8522.592336
1334	8516.892308
1335	8512.878452
1336	8509.026489
